nom_ree,ear_data,ear_max_ree,ear_verif_ree_mwmes,ear_verif_ree_percentual
PARANA,2016-01-20,152257.0,69085.0,45.37
SUDESTE,2016-01-20,50796.0,9761.0,19.22
SUL,2016-01-20,20100.0,19128.0,95.16
TELES PIRES,2016-01-20,0.0,0.0,0.0
BELO MONTE,2016-01-21,22.0,1.0,4.55
ITAIPU,2016-01-21,0.0,0.0,0.0
MADEIRA,2016-01-21,290.0,-5.0,-1.72
NORDESTE,2016-01-21,51809.0,4268.0,8.24
NORTE,2016-01-21,15018.0,2916.0,19.42
PARANA,2016-01-21,152257.0,70504.0,46.31
SUDESTE,2016-01-21,50796.0,10001.0,19.69
SUL,2016-01-21,20100.0,19052.0,94.79
TELES PIRES,2016-01-21,0.0,0.0,0.0
BELO MONTE,2016-01-22,22.0,1.0,4.55
ITAIPU,2016-01-22,0.0,0.0,0.0
MADEIRA,2016-01-22,290.0,-5.0,-1.72
NORDESTE,2016-01-22,51809.0,4785.0,9.24
NORTE,2016-01-22,15018.0,3034.0,20.2
PARANA,2016-01-22,152257.0,71662.0,47.07
SUDESTE,2016-01-22,50796.0,10279.0,20.24
SUL,2016-01-22,20100.0,18970.0,94.38
TELES PIRES,2016-01-22,0.0,0.0,0.0
BELO MONTE,2016-01-23,22.0,1.0,4.55
ITAIPU,2016-01-23,0.0,0.0,0.0
MADEIRA,2016-01-23,290.0,-5.0,-1.72
NORDESTE,2016-01-23,51809.0,5467.0,10.55
NORTE,2016-01-23,15018.0,3159.0,21.03
PARANA,2016-01-23,152257.0,72672.0,47.73
SUDESTE,2016-01-23,50796.0,10606.0,20.88
SUL,2016-01-23,20100.0,18901.0,94.03
TELES PIRES,2016-01-23,0.0,0.0,0.0
BELO MONTE,2016-01-24,22.0,1.0,4.55
ITAIPU,2016-01-24,0.0,0.0,0.0
MADEIRA,2016-01-24,290.0,-5.0,-1.72
NORDESTE,2016-01-24,51809.0,5974.0,11.53
NORTE,2016-01-24,15018.0,3260.0,21.71
PARANA,2016-01-24,152257.0,73590.0,48.33
SUDESTE,2016-01-24,50796.0,10807.0,21.28
SUL,2016-01-24,20100.0,18902.0,94.04
TELES PIRES,2016-01-24,0.0,0.0,0.0
BELO MONTE,2016-01-25,22.0,1.0,4.55
ITAIPU,2016-01-25,0.0,0.0,0.0
MADEIRA,2016-01-25,290.0,-4.0,-1.38
NORDESTE,2016-01-25,51809.0,6447.0,12.44
NORTE,2016-01-25,15018.0,3330.0,22.17
PARANA,2016-01-25,152257.0,74178.0,48.72
SUDESTE,2016-01-25,50796.0,10955.0,21.57
SUL,2016-01-25,20100.0,18828.0,93.67
TELES PIRES,2016-01-25,0.0,0.0,0.0
BELO MONTE,2016-01-26,22.0,1.0,4.55
ITAIPU,2016-01-26,0.0,0.0,0.0
MADEIRA,2016-01-26,290.0,-3.0,-1.03
NORDESTE,2016-01-26,51809.0,6926.0,13.37
NORTE,2016-01-26,15018.0,3456.0,23.01
PARANA,2016-01-26,152257.0,74741.0,49.09
SUDESTE,2016-01-26,50796.0,11112.0,21.88
SUL,2016-01-26,20100.0,18722.0,93.14
TELES PIRES,2016-01-26,0.0,0.0,0.0
BELO MONTE,2016-01-27,22.0,1.0,4.55
ITAIPU,2016-01-27,0.0,0.0,0.0
MADEIRA,2016-01-27,290.0,-2.0,-0.69
NORDESTE,2016-01-27,51809.0,7420.0,14.32
NORTE,2016-01-27,15018.0,3607.0,24.02
PARANA,2016-01-27,152257.0,75269.0,49.44
SUDESTE,2016-01-27,50796.0,11371.0,22.39
SUL,2016-01-27,20100.0,18692.0,93.0
TELES PIRES,2016-01-27,0.0,0.0,0.0
BELO MONTE,2016-01-28,22.0,1.0,4.55
ITAIPU,2016-01-28,0.0,0.0,0.0
MADEIRA,2016-01-28,290.0,-1.0,-0.34
NORDESTE,2016-01-28,51809.0,7871.0,15.19
NORTE,2016-01-28,15018.0,3775.0,25.14
PARANA,2016-01-28,152257.0,75897.0,49.85
SUDESTE,2016-01-28,50796.0,11614.0,22.86
SUL,2016-01-28,20100.0,18649.0,92.78
TELES PIRES,2016-01-28,0.0,0.0,0.0
BELO MONTE,2016-01-29,22.0,1.0,4.55
ITAIPU,2016-01-29,0.0,0.0,0.0
MADEIRA,2016-01-29,290.0,0.0,0.0
NORDESTE,2016-01-29,51809.0,8216.0,15.86
NORTE,2016-01-29,15018.0,3963.0,26.39
PARANA,2016-01-29,152257.0,76535.0,50.27
SUDESTE,2016-01-29,50796.0,11822.0,23.27
SUL,2016-01-29,20100.0,18583.0,92.45
TELES PIRES,2016-01-29,0.0,0.0,0.0
BELO MONTE,2016-01-30,22.0,1.0,4.55
ITAIPU,2016-01-30,0.0,0.0,0.0
MADEIRA,2016-01-30,290.0,2.0,0.69
NORDESTE,2016-01-30,51809.0,8580.0,16.56
NORTE,2016-01-30,15018.0,4156.0,27.67
PARANA,2016-01-30,152257.0,77353.0,50.8
SUDESTE,2016-01-30,50796.0,12033.0,23.69
SUL,2016-01-30,20100.0,18573.0,92.4
TELES PIRES,2016-01-30,0.0,0.0,0.0
BELO MONTE,2016-01-31,22.0,2.0,9.09
ITAIPU,2016-01-31,0.0,0.0,0.0
MADEIRA,2016-01-31,290.0,5.0,1.72
NORDESTE,2016-01-31,51809.0,8916.0,17.21
NORTE,2016-01-31,15018.0,4423.0,29.45
PARANA,2016-01-31,152257.0,78120.0,51.31
SUDESTE,2016-01-31,50796.0,12214.0,24.05
SUL,2016-01-31,20100.0,18707.0,93.07
TELES PIRES,2016-01-31,0.0,0.0,0.0
BELO MONTE,2016-02-01,22.0,2.0,9.09
ITAIPU,2016-02-01,0.0,0.0,0.0
MADEIRA,2016-02-01,290.0,8.0,2.76
NORDESTE,2016-02-01,51809.0,9272.0,17.9
NORTE,2016-02-01,15018.0,4638.0,30.88
PARANA,2016-02-01,152257.0,78716.0,51.7
SUDESTE,2016-02-01,50796.0,12336.0,24.29
SUL,2016-02-01,20100.0,19048.0,94.77
TELES PIRES,2016-02-01,0.0,0.0,0.0
BELO MONTE,2016-02-02,22.0,2.0,9.09
ITAIPU,2016-02-02,0.0,0.0,0.0
MADEIRA,2016-02-02,290.0,11.0,3.79
NORDESTE,2016-02-02,51809.0,9663.0,18.65
NORTE,2016-02-02,15018.0,4805.0,31.99
PARANA,2016-02-02,152257.0,79353.0,52.12
SUDESTE,2016-02-02,50796.0,12405.0,24.42
SUL,2016-02-02,20100.0,19382.0,96.43
TELES PIRES,2016-02-02,0.0,0.0,0.0
BELO MONTE,2016-02-03,22.0,2.0,9.09
ITAIPU,2016-02-03,0.0,0.0,0.0
MADEIRA,2016-02-03,290.0,13.0,4.48
NORDESTE,2016-02-03,51809.0,10136.0,19.56
NORTE,2016-02-03,15018.0,4953.0,32.98
PARANA,2016-02-03,152257.0,79848.0,52.44
SUDESTE,2016-02-03,50796.0,12475.0,24.56
SUL,2016-02-03,20100.0,19467.0,96.85
TELES PIRES,2016-02-03,0.0,0.0,0.0
BELO MONTE,2016-02-04,22.0,3.0,13.64
ITAIPU,2016-02-04,0.0,0.0,0.0
MADEIRA,2016-02-04,290.0,15.0,5.17
NORDESTE,2016-02-04,51809.0,10504.0,20.27
NORTE,2016-02-04,15018.0,5080.0,33.83
PARANA,2016-02-04,152257.0,80349.0,52.77
SUDESTE,2016-02-04,50796.0,12553.0,24.71
SUL,2016-02-04,20100.0,19540.0,97.21
TELES PIRES,2016-02-04,0.0,0.0,0.0
BELO MONTE,2016-02-05,22.0,3.0,13.64
ITAIPU,2016-02-05,0.0,0.0,0.0
MADEIRA,2016-02-05,290.0,18.0,6.21
NORDESTE,2016-02-05,51809.0,10883.0,21.01
NORTE,2016-02-05,15018.0,5180.0,34.49
PARANA,2016-02-05,152257.0,80758.0,53.04
SUDESTE,2016-02-05,50796.0,12607.0,24.82
SUL,2016-02-05,20100.0,19588.0,97.45
TELES PIRES,2016-02-05,0.0,0.0,0.0
BELO MONTE,2016-02-06,22.0,3.0,13.64
ITAIPU,2016-02-06,0.0,0.0,0.0
MADEIRA,2016-02-06,290.0,21.0,7.24
NORDESTE,2016-02-06,51809.0,11200.0,21.62
NORTE,2016-02-06,15018.0,5292.0,35.24
PARANA,2016-02-06,152257.0,81286.0,53.39
SUDESTE,2016-02-06,50796.0,12659.0,24.92
SUL,2016-02-06,20100.0,19607.0,97.55
TELES PIRES,2016-02-06,0.0,0.0,0.0
BELO MONTE,2016-02-07,22.0,3.0,13.64
ITAIPU,2016-02-07,0.0,0.0,0.0
MADEIRA,2016-02-07,290.0,24.0,8.28
NORDESTE,2016-02-07,51809.0,11612.0,22.41
NORTE,2016-02-07,15018.0,5481.0,36.5
PARANA,2016-02-07,152257.0,81681.0,53.65
SUDESTE,2016-02-07,50796.0,12725.0,25.05
SUL,2016-02-07,20100.0,19667.0,97.85
TELES PIRES,2016-02-07,0.0,0.0,0.0
BELO MONTE,2016-02-08,22.0,3.0,13.64
ITAIPU,2016-02-08,0.0,0.0,0.0
MADEIRA,2016-02-08,290.0,26.0,8.97
NORDESTE,2016-02-08,51809.0,11942.0,23.05
NORTE,2016-02-08,15018.0,5637.0,37.53
PARANA,2016-02-08,152257.0,82078.0,53.91
SUDESTE,2016-02-08,50796.0,12776.0,25.15
SUL,2016-02-08,20100.0,19549.0,97.26
TELES PIRES,2016-02-08,0.0,0.0,0.0
BELO MONTE,2016-02-09,22.0,3.0,13.64
ITAIPU,2016-02-09,0.0,0.0,0.0
MADEIRA,2016-02-09,290.0,29.0,10.0
NORDESTE,2016-02-09,51809.0,12337.0,23.81
NORTE,2016-02-09,15018.0,5762.0,38.37
PARANA,2016-02-09,152257.0,82425.0,54.14
SUDESTE,2016-02-09,50796.0,12831.0,25.26
SUL,2016-02-09,20100.0,19525.0,97.14
TELES PIRES,2016-02-09,0.0,0.0,0.0
BELO MONTE,2016-02-10,22.0,3.0,13.64
ITAIPU,2016-02-10,0.0,0.0,0.0
MADEIRA,2016-02-10,290.0,32.0,11.03
NORDESTE,2016-02-10,51809.0,12713.0,24.54
NORTE,2016-02-10,15018.0,5783.0,38.51
PARANA,2016-02-10,152257.0,82745.0,54.35
SUDESTE,2016-02-10,50796.0,12872.0,25.34
SUL,2016-02-10,20100.0,19501.0,97.02
TELES PIRES,2016-02-10,0.0,0.0,0.0
BELO MONTE,2016-02-11,22.0,3.0,13.64
ITAIPU,2016-02-11,0.0,0.0,0.0
MADEIRA,2016-02-11,290.0,34.0,11.72
NORDESTE,2016-02-11,51809.0,12991.0,25.07
NORTE,2016-02-11,15018.0,5820.0,38.75
PARANA,2016-02-11,152257.0,83085.0,54.57
SUDESTE,2016-02-11,50796.0,12927.0,25.45
SUL,2016-02-11,20100.0,19459.0,96.81
TELES PIRES,2016-02-11,0.0,0.0,0.0
BELO MONTE,2016-02-12,22.0,2.0,9.09
ITAIPU,2016-02-12,0.0,0.0,0.0
MADEIRA,2016-02-12,290.0,35.0,12.07
NORDESTE,2016-02-12,51809.0,13347.0,25.76
NORTE,2016-02-12,15018.0,5872.0,39.1
PARANA,2016-02-12,152257.0,83466.0,54.82
SUDESTE,2016-02-12,50796.0,12985.0,25.56
SUL,2016-02-12,20100.0,19413.0,96.58
TELES PIRES,2016-02-12,0.0,0.0,0.0
BELO MONTE,2016-02-13,22.0,2.0,9.09
ITAIPU,2016-02-13,0.0,0.0,0.0
MADEIRA,2016-02-13,290.0,36.0,12.41
NORDESTE,2016-02-13,51809.0,13657.0,26.36
NORTE,2016-02-13,15018.0,5926.0,39.46
PARANA,2016-02-13,152257.0,83949.0,55.14
SUDESTE,2016-02-13,50796.0,13050.0,25.69
SUL,2016-02-13,20100.0,19363.0,96.33
TELES PIRES,2016-02-13,0.0,0.0,0.0
BELO MONTE,2016-02-14,22.0,2.0,9.09
ITAIPU,2016-02-14,0.0,0.0,0.0
MADEIRA,2016-02-14,290.0,37.0,12.76
NORDESTE,2016-02-14,51809.0,13914.0,26.86
NORTE,2016-02-14,15018.0,5988.0,39.87
PARANA,2016-02-14,152257.0,84457.0,55.47
SUDESTE,2016-02-14,50796.0,13105.0,25.8
SUL,2016-02-14,20100.0,19374.0,96.39
TELES PIRES,2016-02-14,0.0,0.0,0.0
BELO MONTE,2016-02-15,22.0,2.0,9.09
ITAIPU,2016-02-15,0.0,0.0,0.0
MADEIRA,2016-02-15,290.0,37.0,12.76
NORDESTE,2016-02-15,51809.0,14377.0,27.75
NORTE,2016-02-15,15018.0,6007.0,40.0
PARANA,2016-02-15,152257.0,84711.0,55.64
SUDESTE,2016-02-15,50796.0,13187.0,25.96
SUL,2016-02-15,20100.0,19327.0,96.15
TELES PIRES,2016-02-15,0.0,0.0,0.0
BELO MONTE,2016-02-16,22.0,2.0,9.09
ITAIPU,2016-02-16,0.0,0.0,0.0
MADEIRA,2016-02-16,290.0,37.0,12.76
NORDESTE,2016-02-16,51809.0,14657.0,28.29
NORTE,2016-02-16,15018.0,6010.0,40.02
PARANA,2016-02-16,152257.0,85203.0,55.96
SUDESTE,2016-02-16,50796.0,13270.0,26.12
SUL,2016-02-16,20100.0,19323.0,96.13
TELES PIRES,2016-02-16,0.0,0.0,0.0
BELO MONTE,2016-02-17,22.0,2.0,9.09
ITAIPU,2016-02-17,0.0,0.0,0.0
MADEIRA,2016-02-17,290.0,37.0,12.76
NORDESTE,2016-02-17,51809.0,14933.0,28.82
NORTE,2016-02-17,15018.0,6004.0,39.98
PARANA,2016-02-17,152257.0,85609.0,56.23
SUDESTE,2016-02-17,50796.0,13361.0,26.3
SUL,2016-02-17,20100.0,19359.0,96.31
TELES PIRES,2016-02-17,0.0,0.0,0.0
BELO MONTE,2016-02-18,22.0,2.0,9.09
ITAIPU,2016-02-18,0.0,0.0,0.0
MADEIRA,2016-02-18,290.0,37.0,12.76
NORDESTE,2016-02-18,51809.0,15199.0,29.34
NORTE,2016-02-18,15018.0,6004.0,39.98
PARANA,2016-02-18,152257.0,85960.0,56.46
SUDESTE,2016-02-18,50796.0,13452.0,26.48
SUL,2016-02-18,20100.0,19340.0,96.22
TELES PIRES,2016-02-18,0.0,0.0,0.0
BELO MONTE,2016-02-19,22.0,3.0,13.64
ITAIPU,2016-02-19,0.0,0.0,0.0
MADEIRA,2016-02-19,290.0,37.0,12.76
NORDESTE,2016-02-19,51809.0,15354.0,29.64
NORTE,2016-02-19,15018.0,6009.0,40.01
PARANA,2016-02-19,152257.0,86334.0,56.7
SUDESTE,2016-02-19,50796.0,13537.0,26.65
SUL,2016-02-19,20100.0,19285.0,95.95
TELES PIRES,2016-02-19,0.0,0.0,0.0
BELO MONTE,2016-02-20,22.0,3.0,13.64
ITAIPU,2016-02-20,0.0,0.0,0.0
MADEIRA,2016-02-20,290.0,38.0,13.1
NORDESTE,2016-02-20,51809.0,15511.0,29.94
NORTE,2016-02-20,15018.0,6061.0,40.36
PARANA,2016-02-20,152257.0,86900.0,57.07
SUDESTE,2016-02-20,50796.0,13623.0,26.82
SUL,2016-02-20,20100.0,19264.0,95.84
TELES PIRES,2016-02-20,0.0,0.0,0.0
BELO MONTE,2016-02-21,22.0,3.0,13.64
ITAIPU,2016-02-21,0.0,0.0,0.0
MADEIRA,2016-02-21,290.0,38.0,13.1
NORDESTE,2016-02-21,51809.0,15676.0,30.26
