data,NORDESTE_nivel,NORTE_nivel,SUDESTE_nivel,SUL_nivel,NORDESTE_ena,NORTE_ena,SUDESTE_ena,SUL_ena,NORDESTE_chuva,NORTE_chuva,SUDESTE_chuva,SUL_chuva,NORDESTE_temperatura,NORTE_temperatura,SUDESTE_temperatura,SUL_temperatura,NORDESTE_carga,NORTE_carga,SUDESTE_carga,SUL_carga,NORDESTE_nivel_slope_7d,NORTE_nivel_slope_7d,SUDESTE_nivel_slope_7d,SUL_nivel_slope_7d,NORDESTE_nivel_slope_15d,NORTE_nivel_slope_15d,SUDESTE_nivel_slope_15d,SUL_nivel_slope_15d,NORDESTE_nivel_slope_30d,NORTE_nivel_slope_30d,SUDESTE_nivel_slope_30d,SUL_nivel_slope_30d,NORDESTE_ena_slope_7d,NORTE_ena_slope_7d,SUDESTE_ena_slope_7d,SUL_ena_slope_7d,NORDESTE_ena_slope_15d,NORTE_ena_slope_15d,SUDESTE_ena_slope_15d,SUL_ena_slope_15d,NORDESTE_ena_slope_30d,NORTE_ena_slope_30d,SUDESTE_ena_slope_30d,SUL_ena_slope_30d,NORDESTE_chuva_acc_15d,NORTE_chuva_acc_15d,SUDESTE_chuva_acc_15d,SUL_chuva_acc_15d,NORDESTE_delta_nivel_30d,NORTE_delta_nivel_30d,SUDESTE_delta_nivel_30d,SUL_delta_nivel_30d,NORDESTE_delta_ena_30d,NORTE_delta_ena_30d,SUDESTE_delta_ena_30d,SUL_delta_ena_30d,NORDESTE_delta_carga_30d,NORTE_delta_carga_30d,SUDESTE_delta_carga_30d,SUL_delta_carga_30d,bandeira,bandeira_code,mes_sin,mes_cos,bandeira_prox_mes
2016-09-10,17.36,45.01,22.09,93.7,1159.0,1031.0,21453.0,11092.0,12.4,0.2,0.0,0.2,24.961111111111112,27.91111111111111,19.160416666666663,16.846875,9395.71383333,5323.60466667,32856.34554167,9121.60370833,-0.15071428571428566,-0.22607142857142876,-0.09178571428571404,0.5174999999999997,-0.1584285714285714,-0.21199999999999997,-0.0885357142857143,0.25267857142857136,-0.14342602892102335,-0.2293770856507231,-0.0820489432703003,0.5605650723025585,-9.464285714285714,-7.25,31.107142857142854,-306.4285714285714,-11.492857142857142,-6.096428571428571,-203.62142857142857,33.31428571428571,-2.5741935483870964,-6.463403781979976,86.18509454949944,129.69432703003338,111.20000000000002,159.0,57.8,383.6,-4.25,-6.830000000000005,-2.580000000000002,12.400000000000006,-81.0,-179.0,3299.0,5070.0,-711.81758334,-295.7351666599998,-2119.0383749999964,-1917.9182500000006,Verde,0,-1.0,-1.8369701987210297e-16,Verde
2016-09-11,17.24,44.79,22.0,93.86,1183.0,1065.0,20963.0,9990.0,26.2,10.4,0.0,0.2,24.95138888888889,28.091666666666665,20.185416666666665,18.25625,8610.29495833,5079.16266667,29968.58716667,8110.1315,-0.1439285714285717,-0.22142857142857203,-0.08999999999999986,0.40178571428571475,-0.1571071428571428,-0.2122857142857143,-0.08850000000000001,0.2931071428571428,-0.14438042269187987,-0.22842936596218025,-0.0820711902113459,0.5564226918798664,2.642857142857143,1.4285714285714284,-70.28571428571428,-1002.6785714285713,-7.592857142857142,-5.8392857142857135,-145.7,-25.892857142857153,-3.3110122358175746,-6.25139043381535,50.542380422691856,42.29432703003337,125.4,169.4,57.8,383.80000000000007,-4.25,-6.800000000000004,-2.5599999999999987,13.379999999999995,-38.0,-105.0,2614.0,4357.0,-1335.88858334,-520.5160833299997,-4679.836916659999,-2774.312416669999,Verde,0,-1.0,-1.8369701987210297e-16,Verde
2016-09-12,17.06,44.55,21.87,93.54,1172.0,1069.0,20306.0,9176.0,0.6000000000000001,4.0,0.0,2.6,25.620833333333334,27.73611111111111,21.727083333333336,20.26875,9751.56545833,5650.84420833,36608.642,10846.17845833,-0.1439285714285717,-0.22035714285714342,-0.09464285714285696,0.2182142857142867,-0.15553571428571433,-0.21307142857142874,-0.08921428571428565,0.3219285714285715,-0.14543270300333702,-0.22738375973303676,-0.08241379310344825,0.5408832035595105,3.5357142857142856,9.035714285714285,-201.32142857142856,-1486.2857142857142,-5.046428571428571,-5.078571428571428,-132.2535714285714,-121.82857142857141,-4.205339265850945,-6.077196885428253,11.277196885428253,-54.8889877641824,119.4,170.8,57.2,386.40000000000003,-4.310000000000002,-6.840000000000003,-2.599999999999998,13.550000000000011,-34.0,-85.0,1699.0,3919.0,398.31854166000085,304.18495833,4880.086625,1599.8532916599997,Verde,0,-1.0,-1.8369701987210297e-16,Verde
2016-09-13,16.93,44.35,21.75,93.14,1125.0,1079.0,19594.0,8790.0,0.4,5.4,0.0,44.4,25.419444444444444,28.00555555555556,23.45,20.709375,10034.17258333,5746.37633333,38109.88983333,11019.451625,-0.14214285714285754,-0.21999999999999986,-0.1010714285714285,0.04178571428571434,-0.15310714285714283,-0.21410714285714294,-0.09082142857142848,0.32642857142857146,-0.1462335928809789,-0.22589543937708567,-0.08313236929922134,0.5150789766407118,-7.392857142857142,15.785714285714285,-346.6428571428571,-1388.142857142857,-5.778571428571428,-4.0249999999999995,-145.50714285714284,-224.0892857142857,-5.429143492769744,-5.800667408231368,-32.103003337041166,-156.14082313681868,98.0,173.0,57.2,413.0,-4.32,-6.850000000000001,-2.6099999999999994,13.39,-75.0,-75.0,808.0,3509.0,1430.2466666600012,679.3200000000006,9487.857750000003,3087.1703749999997,Verde,0,-1.0,-1.8369701987210297e-16,Verde
2016-09-14,16.76,44.09,21.64,92.83,1083.0,1074.0,18977.0,8490.0,22.4,10.6,0.0,0.2,25.554166666666667,28.49583333333333,23.93541666666667,15.995833333333332,10128.66841667,5815.52483333,38356.19854167,10617.762375,-0.14642857142857146,-0.22428571428571406,-0.10714285714285714,-0.09107142857142847,-0.15174999999999997,-0.2164642857142856,-0.09299999999999992,0.30282142857142863,-0.14724360400444936,-0.22476084538375968,-0.08408898776418242,0.4775239154616239,-16.107142857142858,15.0,-497.5,-1045.3214285714284,-9.007142857142856,-2.4,-163.97857142857143,-314.22142857142853,-6.504338153503892,-5.0954393770856505,-80.56129032258063,-257.01357063403776,119.60000000000001,149.0,55.0,382.00000000000006,-4.34,-6.859999999999999,-2.620000000000001,13.629999999999995,-173.0,-142.0,298.0,2647.0,333.42412499999955,305.41995832999964,3660.2497499999954,227.14858332999938,Verde,0,-1.0,-1.8369701987210297e-16,Verde
2016-09-15,16.58,43.87,21.53,92.3,1112.0,1042.0,18385.0,8025.0,1.8,17.6,0.0,0.0,25.68055555555556,27.719444444444445,22.516666666666666,14.209677419354838,10222.96683333,5674.246125,37277.19491667,10786.47729167,-0.15357142857142872,-0.22607142857142826,-0.1107142857142855,-0.22392857142857128,-0.15175000000000008,-0.219,-0.09542857142857136,0.25553571428571437,-0.148587319243604,-0.22344160177975536,-0.08534816462736369,0.42738153503893206,-14.142857142857142,7.857142857142857,-590.5714285714286,-739.8928571428571,-11.528571428571427,-1.3714285714285714,-200.89285714285714,-396.3285714285714,-6.887875417130144,-4.602447163515016,-134.09566184649609,-353.26407119021127,110.6,164.2,42.0,364.6,-4.360000000000003,-6.8700000000000045,-2.6199999999999974,13.549999999999997,-206.0,-164.0,-131.0,906.0,-51.47216667000066,-55.925083330000234,1271.8389583399985,28.098541670000486,Verde,0,-1.0,-1.8369701987210297e-16,Verde
2016-09-16,16.45,43.65,21.41,91.53,1083.0,1015.0,17844.0,7538.0,0.0,7.0,0.0,0.0,26.041666666666668,26.31111111111112,18.791666666666668,14.896875,10328.36954167,5535.82104167,36467.3795,10827.859625,-0.15535714285714278,-0.22785714285714267,-0.11464285714285705,-0.3692857142857149,-0.15100000000000008,-0.22171428571428578,-0.09857142857142846,0.17628571428571427,-0.1493815350389321,-0.22193325917686316,-0.08690545050055612,0.36458731924360394,-16.392857142857142,-3.1785714285714284,-618.2857142857142,-545.6428571428571,-13.37142857142857,-1.2285714285714284,-249.39642857142854,-480.3785714285713,-7.718576195773081,-4.183092324805339,-190.77241379310345,-446.2665183537264,110.6,167.6,11.199999999999992,364.40000000000003,-4.41,-6.880000000000003,-2.6400000000000006,13.019999999999996,-184.0,-195.0,-714.0,-566.0,-42.07083333000082,-245.51470832999985,-379.92154166999535,44.08333332999973,Verde,0,-1.0,-1.8369701987210297e-16,Verde
2016-09-17,16.32,43.39,21.31,90.97,1096.0,1017.0,17344.0,7097.0,6.8,11.0,0.0,0.0,26.28611111111111,27.308333333333334,19.6,17.809375,9767.74829167,5235.71783333,33945.08516667,9383.34520833,-0.15464285714285694,-0.23142857142857132,-0.1146428571428573,-0.48321428571428626,-0.14985714285714297,-0.2244642857142858,-0.10128571428571423,0.07039285714285716,-0.15001779755283645,-0.22083426028921016,-0.08862291434927692,0.29162847608453835,-16.142857142857142,-10.321428571428571,-606.7857142857142,-454.2857142857143,-12.032142857142857,-0.5178571428571428,-303.75,-582.617857142857,-8.852502780867633,-3.5468298109010004,-247.81245828698547,-532.1450500556173,104.39999999999999,175.4,11.199999999999992,364.00000000000006,-4.399999999999999,-6.880000000000003,-2.6400000000000006,12.569999999999993,-103.0,-210.0,-1583.0,-2416.0,-526.0205833300006,-526.6388750000006,-3147.796000000002,-1390.2969166700004,Verde,0,-1.0,-1.8369701987210297e-16,Verde
2016-09-18,16.18,43.15,21.23,90.96,1117.0,1023.0,17044.0,7188.0,0.2,26.8,4.0,19.0,26.038888888888888,27.006944444444443,22.760416666666668,17.929166666666667,8936.46079167,5021.92575,31054.18975,8100.51533333,-0.14892857142857135,-0.23428571428571435,-0.10821428571428587,-0.4778571428571442,-0.1489642857142858,-0.22703571428571434,-0.10299999999999991,-0.03303571428571449,-0.15049610678531705,-0.22001557285873188,-0.09044048943270297,0.21439154616240255,-7.9642857142857135,-11.464285714285714,-550.6785714285714,-367.9285714285714,-8.914285714285715,0.22857142857142856,-361.5857142857142,-681.8499999999999,-9.791323692992213,-3.268075639599555,-303.1733036707452,-599.8304783092321,91.39999999999999,198.60000000000002,15.199999999999992,297.80000000000007,-4.41,-6.859999999999999,-2.6099999999999994,12.36,-84.0,-133.0,-2305.0,-4722.0,-1206.965708329999,-734.8160416699993,-6114.021958330002,-2720.6499166699996,Verde,0,-1.0,-1.8369701987210297e-16,Verde
2016-09-19,16.04,42.89,21.14,90.8,1149.0,1005.0,16828.0,7693.0,0.0,2.2,2.0,0.4,25.523611111111112,26.954166666666666,21.635416666666668,16.711458333333333,10122.03641667,5576.67770833,36729.565625,10062.48754167,-0.14607142857142869,-0.24071428571428602,-0.10250000000000004,-0.4317857142857149,-0.14785714285714294,-0.2283571428571429,-0.10339285714285709,-0.12342857142857153,-0.1507430478309232,-0.21975305895439376,-0.09216017797552833,0.14917463848720805,4.428571428571428,-12.464285714285714,-471.60714285714283,-243.67857142857142,-5.549999999999999,-0.06071428571428571,-407.8321428571428,-724.9214285714286,-9.81735261401557,-3.1704115684093432,-350.51590656284765,-592.6051167964405,87.8,185.8,17.199999999999992,134.60000000000002,-4.43,-6.839999999999996,-2.629999999999999,9.509999999999991,-149.0,-133.0,-3737.0,-14302.0,625.3421249999992,248.02854165999997,2733.821333330001,730.2681250000005,Verde,0,-1.0,-1.8369701987210297e-16,Verde
2016-09-20,15.88,42.64,21.04,90.14,1096.0,993.0,16704.0,7549.0,0.0,7.4,5.6,0.0,25.711111111111112,27.24722222222222,18.11875,13.997916666666669,10529.19604167,5581.31608333,36538.97045833,9887.3935,-0.1425,-0.24321428571428577,-0.09857142857142875,-0.4157142857142857,-0.14764285714285716,-0.23035714285714284,-0.10403571428571427,-0.21503571428571439,-0.15087875417130145,-0.22040489432703003,-0.0933548387096774,0.1022269187986652,5.25,-11.035714285714285,-383.32142857142856,-137.03571428571428,-5.707142857142856,-0.7,-435.67857142857144,-712.2464285714284,-9.670745272525027,-3.153058954393771,-381.20956618464965,-513.0073414905451,77.0,191.4,22.79999999999999,125.60000000000002,-4.470000000000001,-6.75,-2.7300000000000004,4.969999999999999,-267.0,-136.0,-6150.0,-24152.0,1855.3342916700003,477.08441666,6880.797624999996,1916.0033750000002,Verde,0,-1.0,-1.8369701987210297e-16,Verde
2016-09-21,15.75,42.25,20.94,89.32,1055.0,959.0,16452.0,6998.0,0.0,0.2,0.2,0.0,26.757142857142856,27.791666666666668,16.129166666666666,15.559574468085106,10765.0765,5631.32145833,35449.45345833,10662.33345833,-0.13964285714285687,-0.2635714285714281,-0.0957142857142857,-0.42464285714285765,-0.14703571428571433,-0.2367857142857142,-0.10439285714285712,-0.29700000000000043,-0.15096774193548387,-0.22208676307007788,-0.09446273637374857,0.06453615127919904,-3.2857142857142856,-10.892857142857142,-306.9642857142857,-87.96428571428571,-7.99642857142857,-2.2249999999999996,-448.9892857142857,-599.9392857142858,-9.84916573971079,-3.287652947719688,-384.4271412680756,-430.87341490545043,74.6,186.6,11.799999999999992,67.40000000000002,-4.440000000000001,-6.920000000000002,-2.759999999999998,1.7199999999999989,-282.0,-171.0,-10225.0,-24028.0,783.6597499999989,-36.19379167000079,2011.0980833299982,256.8701666600009,Verde,0,-1.0,-1.8369701987210297e-16,Verde
2016-09-22,15.63,42.0,20.85,88.36,1120.0,943.0,16293.0,6249.0,0.0,18.2,0.0,0.2,27.0,27.447222222222223,16.214583333333334,16.2375,10714.619,5575.62770833,35892.7125,10874.09641667,-0.1392857142857141,-0.27642857142857125,-0.09321428571428543,-0.4867857142857146,-0.1464285714285714,-0.24278571428571422,-0.1041785714285714,-0.3706428571428574,-0.15088987764182424,-0.22409566184649607,-0.0952680756395995,0.0286451612903226,0.2857142857142857,-12.928571428571427,-242.03571428571428,-132.28571428571428,-7.082142857142856,-4.978571428571429,-450.35357142857134,-474.31785714285695,-9.875862068965517,-3.6631813125695216,-366.0037819799777,-378.2324805339265,74.2,178.8,11.799999999999992,67.20000000000002,-4.409999999999998,-6.909999999999997,-2.799999999999997,-0.5100000000000051,-160.0,-156.0,-13011.0,-19651.0,628.9968333300003,19.145375000000058,1775.1207916700005,40.21437499999956,Verde,0,-1.0,-1.8369701987210297e-16,Verde
2016-09-23,15.48,41.73,20.76,87.35,1178.0,929.0,15991.0,5644.0,0.0,3.8,0.0,0.2,27.2375,27.091666666666665,19.23958333333333,16.944791666666667,10516.39991667,5438.445,36389.51491667,10901.51341667,-0.139642857142857,-0.28285714285714314,-0.0932142857142853,-0.6264285714285717,-0.14589285714285707,-0.2484642857142857,-0.10310714285714277,-0.44275000000000025,-0.15092102335928811,-0.2261512791991101,-0.09589098998887649,-0.007328142380422732,5.642857142857142,-16.785714285714285,-212.03571428571428,-247.57142857142856,-3.664285714285714,-7.935714285714285,-434.71785714285716,-383.61785714285713,-9.160622914349275,-4.004449388209121,-343.42936596218016,-351.73748609566184,74.2,171.4,11.799999999999992,67.40000000000002,-4.399999999999999,-6.980000000000004,-2.8199999999999967,-2.4200000000000017,-145.0,-178.0,-13358.0,-15763.0,593.472749999999,-3.185833330000605,1771.695166669997,84.8186250000017,Verde,0,-1.0,-1.8369701987210297e-16,Verde
2016-09-24,15.31,41.44,20.66,86.49,1185.0,963.0,15794.0,5281.0,0.0,0.2,0.4,0.0,26.472916666666663,27.85277777777777,18.922916666666666,15.391666666666666,9836.50525,5272.376375,32980.83133333,9453.59720833,-0.14214285714285696,-0.2889285714285718,-0.09499999999999988,-0.7889285714285715,-0.14560714285714274,-0.2546785714285714,-0.10196428571428566,-0.5083928571428576,-0.15084983314794212,-0.22869632925472747,-0.09652502780867626,-0.04453170189099009,10.214285714285714,-13.642857142857142,-208.39285714285714,-397.10714285714283,-0.8607142857142857,-9.682142857142855,-402.89642857142854,-329.975,-7.9357063403781956,-4.254060066740823,-321.87208008898773,-342.3018909899888,70.8,125.0,12.199999999999992,67.40000000000002,-4.459999999999999,-7.020000000000003,-2.8299999999999983,-3.75,-196.0,-114.0,-12730.0,-12975.0,72.80858333000106,-154.49537500000042,-2129.888374999995,-1404.3631666700003,Verde,0,-1.0,-1.8369701987210297e-16,Verde
