data,regiao,carga
2017-03-28,NORDESTE,11341.966
2017-03-29,NORDESTE,11365.97308333
2017-03-30,NORDESTE,11110.102125
2017-03-31,NORDESTE,10866.898673485
2017-04-01,NORDESTE,10049.9525
2017-04-02,NORDESTE,9238.318
2017-04-03,NORDESTE,10218.51479167
2017-04-04,NORDESTE,10625.42429167
2017-04-05,NORDESTE,10648.36658333
2017-04-06,NORDESTE,10749.294375
2017-04-07,NORDESTE,10809.46308333
2017-04-08,NORDESTE,10354.4865
2017-04-09,NORDESTE,9660.20670833
2017-04-10,NORDESTE,10923.383625
2017-04-11,NORDESTE,11131.22120833
2017-04-12,NORDESTE,11168.78104167
2017-04-13,NORDESTE,10582.95875
2017-04-14,NORDESTE,8941.82358333
2017-04-15,NORDESTE,9377.24866667
2017-04-16,NORDESTE,9274.63283333
2017-04-17,NORDESTE,10732.15220833
2017-04-18,NORDESTE,11085.05083333
2017-04-19,NORDESTE,11041.64383333
2017-04-20,NORDESTE,10791.9275
2017-04-21,NORDESTE,9860.62608333
2017-04-22,NORDESTE,10311.904875
2017-04-23,NORDESTE,9781.62333333
2017-04-24,NORDESTE,10674.51079167
2017-04-25,NORDESTE,10792.58966667
2017-04-26,NORDESTE,10967.73466667
2017-04-27,NORDESTE,11033.05733333
2017-04-28,NORDESTE,10748.94895833
2017-04-29,NORDESTE,10161.50504167
2017-04-30,NORDESTE,9896.980183855
2017-05-01,NORDESTE,8744.38941667
2017-05-02,NORDESTE,10124.789
2017-05-03,NORDESTE,10408.66420833
2017-05-04,NORDESTE,10482.89466667
2017-05-05,NORDESTE,10501.05145833
2017-05-06,NORDESTE,9937.859875
2017-05-07,NORDESTE,9346.58325
2017-05-08,NORDESTE,10436.544625
2017-05-09,NORDESTE,10526.79354167
2017-05-10,NORDESTE,10754.46554167
2017-05-11,NORDESTE,10866.65016667
2017-05-12,NORDESTE,10613.79791667
2017-05-13,NORDESTE,10037.132375
2017-05-14,NORDESTE,9357.99045833
2017-05-15,NORDESTE,10911.686625
2017-05-16,NORDESTE,11197.05470833
2017-05-17,NORDESTE,11269.34616667
2017-05-18,NORDESTE,10991.31604167
2017-05-19,NORDESTE,10715.34170833
2017-05-20,NORDESTE,9975.66079167
2017-05-21,NORDESTE,9230.66866667
2017-05-22,NORDESTE,10477.18775
2017-05-23,NORDESTE,10697.857375
2017-05-24,NORDESTE,10613.3705
2017-05-25,NORDESTE,10616.14658333
2017-05-26,NORDESTE,10489.051875
2017-05-27,NORDESTE,9979.988375
2017-05-28,NORDESTE,9220.074875
2017-05-29,NORDESTE,9818.50970833
2017-05-30,NORDESTE,9949.34983333
2017-05-31,NORDESTE,10320.667840220001
2017-06-01,NORDESTE,10324.00904167
2017-06-02,NORDESTE,10477.44016667
2017-06-03,NORDESTE,9931.15058333
2017-06-04,NORDESTE,8995.71941667
2017-06-05,NORDESTE,9961.10975
2017-06-06,NORDESTE,10367.8755
2017-06-07,NORDESTE,10409.28866667
2017-06-08,NORDESTE,10349.182125
2017-06-09,NORDESTE,10529.97541667
2017-06-10,NORDESTE,9948.28779167
2017-06-11,NORDESTE,9112.75345833
2017-06-12,NORDESTE,10235.94816667
2017-06-13,NORDESTE,10293.80433333
2017-06-14,NORDESTE,10262.878875
2017-06-15,NORDESTE,9690.88408333
2017-06-16,NORDESTE,10128.11475
2017-06-17,NORDESTE,9860.33158333
2017-06-18,NORDESTE,9111.97254167
2017-06-19,NORDESTE,10017.58658333
2017-06-20,NORDESTE,10245.41433333
2017-06-21,NORDESTE,10200.41695833
2017-06-22,NORDESTE,10081.65508333
2017-06-23,NORDESTE,9724.64425
2017-06-24,NORDESTE,8958.183
2017-06-25,NORDESTE,8599.08945833
2017-06-26,NORDESTE,9684.26783333
2017-06-27,NORDESTE,9922.78645833
2017-06-28,NORDESTE,9808.51604167
2017-06-29,NORDESTE,9903.4085
2017-06-30,NORDESTE,10017.032355115
2017-07-01,NORDESTE,9440.824875
2017-07-02,NORDESTE,8661.63433333
2017-07-03,NORDESTE,9346.68525
2017-07-04,NORDESTE,9397.803875
2017-07-05,NORDESTE,9444.632875
2017-07-06,NORDESTE,9712.286
2017-07-07,NORDESTE,9790.89033333
2017-07-08,NORDESTE,9241.24870833
2017-07-09,NORDESTE,8573.31429167
2017-07-10,NORDESTE,9497.67966667
2017-07-11,NORDESTE,9793.38954167
2017-07-12,NORDESTE,9651.47979167
2017-07-13,NORDESTE,9774.42129167
2017-07-14,NORDESTE,9719.48083333
2017-07-15,NORDESTE,9269.159125
2017-07-16,NORDESTE,8593.106625
2017-07-17,NORDESTE,9524.63554167
2017-07-18,NORDESTE,9771.08666667
2017-07-19,NORDESTE,9684.65525
2017-07-20,NORDESTE,9899.43925
2017-07-21,NORDESTE,9837.10533333
2017-07-22,NORDESTE,9357.78625
2017-07-23,NORDESTE,8622.742375
2017-07-24,NORDESTE,9559.50883333
2017-07-25,NORDESTE,9661.45195833
2017-07-26,NORDESTE,9578.4885
2017-07-27,NORDESTE,9656.93145833
2017-07-28,NORDESTE,9656.60320833
2017-07-29,NORDESTE,9207.60425
2017-07-30,NORDESTE,8416.73683333
2017-07-31,NORDESTE,9511.270679865
2017-08-01,NORDESTE,9624.4235
2017-08-02,NORDESTE,9572.95670833
2017-08-03,NORDESTE,9900.992125
2017-08-04,NORDESTE,10028.80879167
2017-08-05,NORDESTE,9453.05191667
2017-08-06,NORDESTE,8755.59754167
2017-08-07,NORDESTE,9621.2115
2017-08-08,NORDESTE,9887.77270833
2017-08-09,NORDESTE,10006.90220833
2017-08-10,NORDESTE,10180.99333333
2017-08-11,NORDESTE,10174.02175
2017-08-12,NORDESTE,9661.784
2017-08-13,NORDESTE,8794.591375
2017-08-14,NORDESTE,9739.64529167
2017-08-15,NORDESTE,9701.14499583
2017-08-16,NORDESTE,9774.78466667
2017-08-17,NORDESTE,10123.88970833
2017-08-18,NORDESTE,10245.25529167
2017-08-19,NORDESTE,9582.64725
2017-08-20,NORDESTE,8877.63320833
2017-08-21,NORDESTE,10084.019125
2017-08-22,NORDESTE,10233.52729167
2017-08-23,NORDESTE,9953.79991667
2017-08-24,NORDESTE,10085.49533333
2017-08-25,NORDESTE,10083.87666667
2017-08-26,NORDESTE,9588.35454167
2017-08-27,NORDESTE,8815.59233333
2017-08-28,NORDESTE,9872.07208333
2017-08-29,NORDESTE,10124.96475
2017-08-30,NORDESTE,10060.489375
2017-08-31,NORDESTE,10239.03871463
2017-09-01,NORDESTE,10253.53479167
2017-09-02,NORDESTE,9702.542625
2017-09-03,NORDESTE,8922.49808333
2017-09-04,NORDESTE,9815.46625
2017-09-05,NORDESTE,10074.084625
2017-09-06,NORDESTE,10042.85008333
2017-09-07,NORDESTE,9288.51975
2017-09-08,NORDESTE,9832.550875
2017-09-09,NORDESTE,9419.60479167
2017-09-10,NORDESTE,8826.80904167
2017-09-11,NORDESTE,9857.55591667
2017-09-12,NORDESTE,10056.78279167
2017-09-13,NORDESTE,9918.53129167
2017-09-14,NORDESTE,9974.921625
2017-09-15,NORDESTE,9829.98633333
2017-09-16,NORDESTE,9338.79058333
2017-09-17,NORDESTE,8676.52170833
2017-09-18,NORDESTE,9750.57466667
2017-09-19,NORDESTE,9845.67883333
2017-09-20,NORDESTE,9799.39566667
2017-09-21,NORDESTE,9944.403875
2017-09-22,NORDESTE,9869.78858333
2017-09-23,NORDESTE,9332.38308333
2017-09-24,NORDESTE,8622.77516667
2017-09-25,NORDESTE,9680.07454167
2017-09-26,NORDESTE,10067.291
2017-09-27,NORDESTE,10081.31204167
2017-09-28,NORDESTE,10240.70566667
2017-09-29,NORDESTE,10295.51645833
2017-09-30,NORDESTE,9968.58999634
2017-10-01,NORDESTE,9035.53525
2017-10-02,NORDESTE,10315.54316667
2017-10-03,NORDESTE,10674.085875
2017-10-04,NORDESTE,10516.094
2017-10-05,NORDESTE,10480.775125
2017-10-06,NORDESTE,10358.54879167
2017-10-07,NORDESTE,9929.93008333
2017-10-08,NORDESTE,9154.09891667
2017-10-09,NORDESTE,10235.98129167
2017-10-10,NORDESTE,10479.53116667
2017-10-11,NORDESTE,10403.43725
2017-10-12,NORDESTE,9603.83025
2017-10-13,NORDESTE,10292.380875
2017-10-14,NORDESTE,10028.65058333
2017-10-15,NORDESTE,9366.65547826
2017-10-16,NORDESTE,10434.10858333
2017-10-17,NORDESTE,10576.53079167
2017-10-18,NORDESTE,10273.41170833
2017-10-19,NORDESTE,10339.121125
2017-10-20,NORDESTE,10537.77975
2017-10-21,NORDESTE,10142.847125
2017-10-22,NORDESTE,9321.93083333
2017-10-23,NORDESTE,10294.18845833
2017-10-24,NORDESTE,10524.92345833
2017-10-25,NORDESTE,10436.912625
2017-10-26,NORDESTE,10608.108375
2017-10-27,NORDESTE,10761.58775
2017-10-28,NORDESTE,10383.237125
2017-10-29,NORDESTE,9665.49916667
2017-10-30,NORDESTE,10894.031125
2017-10-31,NORDESTE,10937.926421175
2017-11-01,NORDESTE,10944.97166667
2017-11-02,NORDESTE,9853.72233333
2017-11-03,NORDESTE,10348.27779167
2017-11-04,NORDESTE,9931.7205
2017-11-05,NORDESTE,9332.81858333
2017-11-06,NORDESTE,10671.402125
2017-11-07,NORDESTE,10653.999625
