data,subsistema,ena
2016-04-20,NORTE,7524.0
2016-04-20,SUDESTE,32112.0
2016-04-20,SUL,7242.0
2016-04-21,NORDESTE,2191.0
2016-04-21,NORTE,7246.0
2016-04-21,SUDESTE,31707.0
2016-04-21,SUL,6719.0
2016-04-22,NORDESTE,2144.0
2016-04-22,NORTE,6974.0
2016-04-22,SUDESTE,31289.0
2016-04-22,SUL,6800.0
2016-04-23,NORDESTE,2108.0
2016-04-23,NORTE,6694.0
2016-04-23,SUDESTE,30936.0
2016-04-23,SUL,7299.0
2016-04-24,NORDESTE,2071.0
2016-04-24,NORTE,6472.0
2016-04-24,SUDESTE,30921.0
2016-04-24,SUL,8096.0
2016-04-25,NORDESTE,2033.0
2016-04-25,NORTE,6308.0
2016-04-25,SUDESTE,31121.0
2016-04-25,SUL,10873.0
2016-04-26,NORDESTE,2002.0
2016-04-26,NORTE,6150.0
2016-04-26,SUDESTE,31613.0
2016-04-26,SUL,12801.0
2016-04-27,NORDESTE,1968.0
2016-04-27,NORTE,6025.0
2016-04-27,SUDESTE,32236.0
2016-04-27,SUL,14924.0
2016-04-28,NORDESTE,1939.0
2016-04-28,NORTE,5922.0
2016-04-28,SUDESTE,32846.0
2016-04-28,SUL,14488.0
2016-04-29,NORDESTE,1912.0
2016-04-29,NORTE,5835.0
2016-04-29,SUDESTE,33483.0
2016-04-29,SUL,12417.0
2016-04-30,NORDESTE,1883.0
2016-04-30,NORTE,5722.0
2016-04-30,SUDESTE,33905.0
2016-04-30,SUL,10737.0
2016-05-01,NORDESTE,1845.0
2016-05-01,NORTE,5666.0
2016-05-01,SUDESTE,34186.0
2016-05-01,SUL,9312.0
2016-05-02,NORDESTE,1807.0
2016-05-02,NORTE,5685.0
2016-05-02,SUDESTE,34059.0
2016-05-02,SUL,8387.0
2016-05-03,NORDESTE,1780.0
2016-05-03,NORTE,5669.0
2016-05-03,SUDESTE,33539.0
2016-05-03,SUL,7797.0
2016-05-04,NORDESTE,1739.0
2016-05-04,NORTE,5616.0
2016-05-04,SUDESTE,32769.0
2016-05-04,SUL,7297.0
2016-05-05,NORDESTE,1697.0
2016-05-05,NORTE,5574.0
2016-05-05,SUDESTE,31938.0
2016-05-05,SUL,7098.0
2016-05-06,NORDESTE,1661.0
2016-05-06,NORTE,5492.0
2016-05-06,SUDESTE,31238.0
2016-05-06,SUL,7182.0
2016-05-07,NORDESTE,1628.0
2016-05-07,NORTE,5308.0
2016-05-07,SUDESTE,30853.0
2016-05-07,SUL,7509.0
2016-05-08,NORDESTE,1598.0
2016-05-08,NORTE,5141.0
2016-05-08,SUDESTE,30770.0
2016-05-08,SUL,7655.0
2016-05-09,NORDESTE,1571.0
2016-05-09,NORTE,4996.0
2016-05-09,SUDESTE,32066.0
2016-05-09,SUL,7958.0
2016-05-10,NORDESTE,1551.0
2016-05-10,NORTE,4854.0
2016-05-10,SUDESTE,32899.0
2016-05-10,SUL,8243.0
2016-05-11,NORDESTE,1547.0
2016-05-11,NORTE,4696.0
